url,price,title
https://www.olx.com.pk/item/laptop-ksi-ko-chahy-to-rbta-kary-good-working-condition-hai-IDWfMQT.html,"Rs 7,500",Laptop ksi ko chahy to rbta kary good working condition hai
https://www.olx.com.pk/item/mini-laptop-fujitsu-seimens-IDWfMMw.html,"Rs 9,000",Mini Laptop Fujitsu Seimens
https://www.olx.com.pk/item/dell-inspiron-15-5000series-intel-laptop-with-optional-touch-screen-IDWfMKa.html,"Rs 60,000",Dell Inspiron 15 5000Series (Intel®) Laptop with Optional Touch Screen
https://www.olx.com.pk/item/hamza-ahmad-IDWfMHF.html,"Rs 1,100",Hamza ahmad
https://www.olx.com.pk/item/kingston-datatravelar-dt50-usb-flash-drive-usb-3-1-IDWfMH1.html,"Rs 1,500",Kingston DataTravelar DT50 USB Flash Drive USB 3.1
https://www.olx.com.pk/item/ye-fan-ha-jo-ky-egzasts-ka-kam-krta-ha-full-size-IDWfMFC.html,"Rs 45,000",Ye fan ha jo ky egzasts ka kam krta ha full size
https://www.olx.com.pk/item/hp-elite-book-laptop-IDWfMEn.html,"Rs 30,000",HP Elite Book Laptop
https://www.olx.com.pk/item/hp-elitebook-8470p-core-i5-3rd-gen-IDWfMDx.html,"Rs 23,000",HP Elitebook 8470p Core i5 3rd gen
https://www.olx.com.pk/item/dell-laptop-core-2-duo-IDWfMzK.html,"Rs 8,000",Dell Laptop core 2 duo
https://www.olx.com.pk/item/hp-15-ay-ci5-7th-generation-pin-packed-IDWfMzs.html,"Rs 58,500",HP 15 ay ci5 7th generation pin packed
https://www.olx.com.pk/item/hp-15-au-ci5-7th-generation-international-pin-packed-IDWfMyr.html,"Rs 59,500",HP 15-au ci5 7th generation International PIN PACKED
https://www.olx.com.pk/item/dell-laptop-5567-c85-7th-generation-box-packed-IDWfMxb.html,"Rs 72,000",DELL Laptop 5567 c85 7th generation Box packed
https://www.olx.com.pk/item/avocent-av2015-001-16-port-autoview-2015-kvm-switch-IDWa9sD.html,"Rs 12,000",AVOCENT AV2015-001 16-port autoview 2015 kvm switch
https://www.olx.com.pk/item/telenor-4-g-huawei-cloud-special-discount-IDWg91Y.html,"Rs 2,800",Telenor 4 G Huawei cloud special discount
https://www.olx.com.pk/item/new-dreem-zong-4g-free-delivery-0-3-1-6-4-7-6-3-7-9-2-free-sim-free-IDWg923.html,"Rs 2,480",NEW DREEM ZONG 4G FREE DELIVERY 0 3 1 6 4 7 6 3 7 9 2 Free Sim Free
https://www.olx.com.pk/item/zong-ki-internet-device-compny-rate-py-hasil-krin-IDUXhfg.html,"Rs 2,480",Zong Ki internet device Compny Rate Py Hasil krin
https://www.olx.com.pk/item/hp-probook-4540s-IDWeu2I.html,"Rs 25,000",Hp Probook 4540s
https://www.olx.com.pk/item/hp-probook-core-i5-2nd-generation-with-8gb-ram-100-original-parts-IDUeaXw.html,"Rs 20,500",HP ProBook Core i5 2nd Generation with 8GB Ram & 100% Original Part's
https://www.olx.com.pk/item/mitsubishi-vlt-xd2000lp-projector-lamp-IDUOwba.html,"Rs 9,000",Mitsubishi VLT-XD2000LP Projector lamp
https://www.olx.com.pk/item/new-cloud-thermal-receipt-printers-with-auto-cutter-1-year-warranty-IDWg92U.html,"Rs 7,999",New Cloud Thermal Receipt Printers with Auto Cutter - 1 Year Warranty
https://www.olx.com.pk/item/hdmi-to-vga-converter-IDWg93q.html,Rs 370,HDMI to VGA Converter
https://www.olx.com.pk/item/zong-plug-n-play-connect-16wifi-damo-delivery-only-in-lahore-1780-IDW13x4.html,"Rs 1,880",ZONG plug n play connect 16wifi Damo delivery only in Lahore 1780
https://www.olx.com.pk/item/mobile-rack-or-removable-frame-for-3-5-and-2-5-hard-disk-drive-IDW3f14.html,Rs 999,"Mobile Rack or Removable Frame for 3.5"" and 2.5"" Hard Disk Drive"
https://www.olx.com.pk/item/zong-4g-mifi-cloud-available-IDWg93D.html,"Rs 2,600",Zong 4G mifi cloud Available
https://www.olx.com.pk/item/haier-y11b-IDWg93p.html,"Rs 21,000",Haier Y11b
https://www.olx.com.pk/item/apex-pc-solutions-outlook-model-el-80-dt-8-port-kvm-switch-rackmout-IDWa6kl.html,"Rs 6,000",Apex PC Solutions Outlook Model EL-80 DT 8-Port KVM Switch Rackmout
https://www.olx.com.pk/item/hdmi-cable-branded-10-mtr-flat-IDWg949.html,Rs 650,HDMI Cable Branded 10 MTR Flat
https://www.olx.com.pk/item/apple-wireless-keyboard-mouse-mini-IDWd8bZ.html,"Rs 1,200",Apple Wireless Keyboard Mouse Mini
https://www.olx.com.pk/item/belkin-omniview-pro2-16-port-kvm-switch-f1da116t-IDWa656.html,"Rs 8,500",Belkin OmniView Pro2 16-Port KVM Switch F1DA116T
https://www.olx.com.pk/item/hp-elitebook-2540p-IDWfXca.html,"Rs 9,999",Hp Elitebook 2540p
https://www.olx.com.pk/item/jbl-charge3-bluetooth-speaker-IDWdY1S.html,"Rs 2,700",JBL Charge3+ Bluetooth Speaker
https://www.olx.com.pk/item/computar-full-saman-coputar-toroli-bofar-urjant-sel-IDWesMi.html,"Rs 15,000",Computar full saman + coputar toroli+bofar urjant sel
https://www.olx.com.pk/item/bolt-faster-then-imagination-4g-usb-and-mifi-cloud-availble-IDW9EE6.html,"Rs 1,880",BOLT + Faster Then imagination 4G Usb And Mifi Cloud Availble
https://www.olx.com.pk/item/hdmi-cable-branded-1-5-mtr-IDWg95s.html,Rs 250,HDMI Cable Branded 1.5 MTR
https://www.olx.com.pk/item/4g-huawei-usb-modem-broadband-dongle-IDUFFxc.html,"Rs 3,000",4G HUAWEI USB modem broadband Dongle
https://www.olx.com.pk/item/asus-ve278h-27-inch-monitor-IDWg8W1.html,"Rs 12,000",Asus ve278h 27 inch monitor
